CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE
03D1au 1 4 0 D1 1 0.50349 0 0.50309 0 -120.853 0 9.517 0.1105 72.6291 62.0427 34.5892 52909.734 0.217 1.27 0.1503 -0.0115372 0.0293198 22.7543 0.0255232 1.42002E-05 3.33814E-07 1.74116E-05 -1.11229E-08 -5.81931E-09 39 28.6219 0.8891 36.043209 -4.037469 11.2542 -6.14644 41.5709 0.025456 42.3001 42.2772 0.1337 0.1032 0.027 0.199 0 0 0.007 0.003 0.122 0.006 0.792 3
03D1ax 2 4 0 D1 1 0.4952 0 0.4948 0 -118.36 0 11.58 0.1125 82.3555 54.9161 43.0412 52915.914 0.11 -0.727943 0.1013 -0.0986878 0.0285664 22.7117 0.0254957 1.47684E-05 3.46797E-07 1.58174E-05 -7.87727E-09 -5.96241E-09 29 48.0786 0.0144245 36.097286 -4.720774 8.6768 -10.3035 19.0821 0.022704 42.2327 42.234 0.118 0.0985 -0.026 -0.218 0 0.087 0.008 -0.009 -0.052 -0.028 0.644 3
03D1co 3 4 0 D1 1 0.6782 0 0.67767 0 -160.659 0 8.647 0.284 22.9429 20.2684 7.699 52954.488 0.443 0.668 0.3999 -0.0367941 0.0669054 23.828 0.0444454 5.28216E-06 2.16229E-07 0.00601639 -5.93752E-08 -4.11477E-09 35 42.587 0.2087 36.567749 -4.93505 10.7346 -14.9177 42.7943 0.025714 43.404 43.0608 0.2142 0.2426 0.36 1.682 0 -0.032 0.005 -0.003 -0.011 0.007 0.648 3
03D1ew 4 4 0 D1 1 0.8672 0 0.8665 0 -208.002 0 8.53 0.805 25.1633 12.9986 7.1176 52991.707 0.68 0.3915 0.345 -0.0610569 0.0657322 24.0842 0.0506055 4.1718E-06 1.94445E-07 0.00418713 -1.33872E-08 5.81259E-09 18 18.4873 0.424 36.058796 -4.665852 9.6485 -14.661 18.54 0.023392 43.7039 43.7161 0.1703 0.272 -0.04 -0.234 0 -0.029 0.008 -0.011 -0.106 0 0.338 3
03D1fq 5 4 0 D1 1 0.7992 0 0.79857 0 -189.367 0 10.651 0.127 24.7528 15.5838 6.0968 52999.188 0.651 -1.03274 0.4011 -0.0529832 0.0631378 24.2486 0.0448229 3.58559E-06 1.48025E-07 0.00353567 -1.98134E-08 3.46944E-09 14 11.1006 0.7454 36.731934 -4.302217 10.013 -14.9544 15.0846 0.022446 43.721 43.4978 0.1711 0.2602 0.195 1.142 0 -0.08 0.015 -0.02 -0.443 -0.002 0.368 3
03D3ay 6 4 0 D3 1 0.37129 0 0.37144 0 44.1398 0 10.198 0.0675 100.8984 70.4697 13.4531 52767.629 0.142 0.5745 0.198 -0.0565309 0.032162 22.0117 0.0386976 2.814E-05 1.00296E-06 0.000887666 -1.28019E-07 -2.23173E-08 14 17.8658 0.213 214.493576 52.482613 22.5616 -10.2778 41.3392 0.006622 41.6523 41.4951 0.1241 0.1056 0.155 1.252 0 0.016 0.006 -0.003 -0.005 -0.005 0.668 3
03D3bl 7 4 0 D3 1 0.35568 0 0.35582 0 40.932 0 10.831 0.0925 66.714 65.4898 63.4364 52787.148 0.108 0.0531571 0.1721 0.2023 0.0283189 22.6694 0.0279493 1.53546E-05 3.95263E-07 -0.000149018 -9.96179E-09 -8.85905E-09 14 52.4811 2.33067E-06 214.982498 53.097401 11.7594 -2.74962 27.4126 0.008858 41.3689 41.3859 0.1386 0.0928 -0.03 -0.215 0 -0.079 0.021 0.006 -0.032 0.022 0.936 3
03D4ag 8 4 0 D4 1 0.28391 0 0.2836 0 -93.0836 0 10.628 0.099 149.5949 115.5145 97.9012 52830.938 0.097 0.9431 0.1058 -0.0841374 0.0230079 21.0069 0.0305824 7.09988E-05 1.99986E-06 -0.000242418 -6.81953E-08 -3.43599E-08 25 20.796 0.7039 333.690948 -17.739655 15.5338 -14.2935 43.1603 0.022188 40.7721 40.815 0.0977 0.0737 -0.008 -0.085 0 0.051 0.006 -0.009 0.005 -0.016 0.55 3
03D4au 9 4 0 D4 1 0.46691 0 0.4664 0 -152.568 0 9.464 0.1065 33.6884 24.7417 12.2427 52816.184 0.503 0.3792 0.3296 0.1192 0.0404942 23.544 0.0340523 6.86103E-06 2.15185E-07 0.000847036 -2.10778E-08 -4.97522E-09 25 21.4549 0.667 334.041351 -18.077591 13.5974 -14.0284 44.419 0.02451 42.5602 42.0804 0.1758 0.1452 0.455 2.591 0 -0.092 0.011 0.002 -0.026 0.025 0.936 3
03D4cx 10 4 0 D4 1 0.94791 0 0.94688 0 -309.877 0 11.008 0.157 15.2509 11.4041 9.5129 52882.848 1.09 -0.114899 0.6694 0.059635 0.0618204 24.1805 0.0631997 3.81758E-06 2.22217E-07 0.00117495 -6.71854E-08 6.41971E-09 32 35.8432 0.2929 333.640625 -17.587511 10.2096 -5.32926 40.7501 0.020984 43.7784 43.9538 0.1646 0.2963 -0.194 -1.178 0 -0.478 0.023 -0.084 -0.43 0.088 0.272 3
03D4cz 11 4 0 D4 1 0.69391 0 0.69315 0 -226.902 0 10.389 0.245 18.9501 13.7497 5.4088 52894.625 0.418 -1.77016 0.3715 -0.0720015 0.0834857 23.7791 0.0471758 5.52514E-06 2.4007E-07 0.0063605 -5.28937E-08 -3.0672E-09 26 26.0916 0.5135 334.174408 -17.926271 11.7395 -13.0761 39.9037 0.024768 43.1556 43.1208 0.2507 0.3056 0.052 0.207 0 -0.03 0.022 -0.025 -0.324 -0.012 0.597 3
03D4di 12 4 0 D4 1 0.89791 0 0.89693 0 -293.618 0 9.879 0.0635 22.3876 11.7393 6.4798 52900.973 0.522 1.4731 0.4089 -0.0796778 0.0611018 24.0604 0.0556071 4.2642E-06 2.18395E-07 0.00380847 -3.74807E-08 5.65948E-09 32 25.1029 0.8018 333.542664 -17.506617 10.4784 -15.0141 32.2744 0.022532 43.7492 43.8085 0.161 0.2639 -0.078 -0.483 0 0.14 0.01 0.027 0.431 -0.012 0.318 3
03D4fd 13 4 0 D4 1 0.78991 0 0.78904 0 -259.189 0 10.005 0.2195 28.6178 12.9603 6.0243 52938.52 0.721 0.7945 0.4712 -0.0399821 0.0258137 23.9622 0.0390695 4.66773E-06 1.67965E-07 0.00081181 -2.35398E-08 5.28751E-10 12 9.5631 0.6542 334.060211 -17.395573 11.1102 -14.0808 13.2607 0.023908 43.5837 43.4657 0.1129 0.14 0.09 0.799 0 -0.045 0.006 -0.006 0.04 0.013 0.405 3
03D4gg 14 4 0 D4 1 0.59091 0 0.59027 0 -192.919 0 10.162 0.0055 36.1862 27.1535 14.3173 52943.129 0.544 1.0029 0.4333 0.013488 0.0390552 23.1827 0.0350175 9.5702E-06 3.08661E-07 0.000154484 -6.00229E-08 -1.16907E-09 13 23.8847 0.047313 334.16745 -18.164457 12.499 -8.66883 12.0107 0.023048 42.7028 42.6959 0.1756 0.1692 -0.028 -0.158 0 -0.055 0.006 0.001 0.069 0.018 0.76 3
04D1dc 15 4 0 D1 1 0.2102 0 0.21075 0 164.9109 0 10.635 0.0415 188.8327 173.8386 171.9579 53230.672 0.159 -1.23107 0.061977 -0.00448154 0.0245965 20.8037 0.0299311 8.56125E-05 2.36013E-06 -0.000181588 7.11537E-09 -4.78151E-08 24 28.6759 0.2326 36.576935 -4.311968 11.5284 -2.55471 42.7978 0.0215 40.0051 40.0835 0.1059 0.0718 -0.084 -0.797 0 -0.02 0.019 0.001 -0.007 0.005 0.658 3
04D1ff 16 4 0 D1 1 0.8592 0 0.85852 0 -204.4 0 8.73 0.3045 33.1254 11.9776 8.7489 53251.203 0.329 0.7314 0.272 0.0434838 0.0561381 23.9823 0.040602 4.58225E-06 1.71357E-07 0.000887904 -2.17873E-08 2.40443E-09 48 61.8629 0.0862152 36.410923 -4.902631 6.9745 -12.7016 42.6012 0.023478 43.4939 43.6913 0.1512 0.231 -0.225 -1.488 0 -0.253 0.013 -0.029 0.013 0.062 0.35 3
04D1hx 17 4 0 D1 1 0.5592 0 0.55875 0 -133.489 0 9.645 0.1335 40.6887 35.5379 18.0938 53260.062 0.269 0.287 0.1905 0.1165 0.0326272 23.453 0.0268545 7.46134E-06 1.84548E-07 4.49133E-05 -9.89868E-09 -3.37518E-09 48 63.9474 0.0615067 36.177063 -4.790326 8.3158 -13.1611 43.8126 0.023392 42.5115 42.5517 0.1471 0.1176 -0.075 -0.508 0 -0.139 0.012 -0.004 -0.046 0.035 0.841 3
04D1iv 18 4 0 D1 1 0.9972 0 0.9964 0 -239.168 0 9.034 0.45 25.5641 15.8272 9.973 53264.641 0.526 1.22 0.3477 -0.115634 0.0480381 24.3166 0.055101 3.36782E-06 1.70917E-07 0.00168042 -2.15021E-08 3.93165E-09 50 56.6166 0.2418 36.200211 -4.152559 6.9875 -14.0492 44.3999 0.024596 44.0294 44.0906 0.1327 0.2236 -0.08 -0.6 0 0.209 0.013 0.033 0.262 -0.037 0.285 3
