,Name,Fixed,Free param,ln $\mathcal{L}$,AICc,$\Delta$ AICc,Proba
0,Base$-(\sigma_2)$,False,4,1079.8921865293253,1087.9881097907162,0.0,1.0
1,Base,False,5,1079.5009378636598,1089.6451686328905,-1.657058842174365,0.4366910029387637
2,"Base$+(\mu_1^{\mathrm{O}}, \sigma_1^{\mathrm{O}})$",False,7,1074.529499631677,1088.8000310326431,-0.8119212419269388,0.6663364065939432
3,Howell,False,4,1088.2353243831617,1096.3312476445526,-8.343137853836424,0.015428035665225657
4,Asymetric,True,3,1101.3059571072813,1107.3633733752238,-19.375263584507593,6.204616878269668e-05
5,Howell:$f$,True,5,1101.2026019553646,1111.3468327245953,-23.358722933879108,8.466770008622615e-06
6,"Base$+(\mu_1^{\mathrm{O}}, \sigma_1^{\mathrm{O}}):f$",True,8,1095.5425030936094,1111.891171374481,-23.90306158376484,6.449352680003011e-06
7,Base:$f$,True,6,1101.2026623256577,1113.4050719642119,-25.416962173495676,3.0253581198908848e-06
8,Gaussian,True,2,1142.5827614232658,1146.6114010414042,-58.623291250688,1.8625762007305827e-13
9,Base$-(\sigma_2):f$,True,5,1142.582857986121,1152.7270887553518,-64.73897896463563,8.752040844920008e-15
